question_id,career_field,difficulty,question,option_a,option_b,option_c,option_d,correct_answer
1,Web Development,Easy,What is the primary goal of Web Development?,Learning core concepts and tools,Ignoring documentation,Avoiding practical projects,Working without planning,A
2,Web Development,Easy,Which technology is most commonly associated with Web Development?,Learning core concepts and tools,Ignoring documentation,Avoiding practical projects,Working without planning,A
3,Web Development,Easy,Which skill is most important for beginners in Web Development?,Learning core concepts and tools,Ignoring documentation,Avoiding practical projects,Working without planning,A
4,Web Development,Easy,What is a common tool used in Web Development?,Learning core concepts and tools,Ignoring documentation,Avoiding practical projects,Working without planning,A
5,Web Development,Easy,What does a beginner typically learn first in Web Development?,Learning core concepts and tools,Ignoring documentation,Avoiding practical projects,Working without planning,A
6,Web Development,Easy,Which of the following best describes Web Development?,Learning core concepts and tools,Ignoring documentation,Avoiding practical projects,Working without planning,A
7,Web Development,Easy,What is a basic concept in Web Development?,Learning core concepts and tools,Ignoring documentation,Avoiding practical projects,Working without planning,A
8,Web Development,Easy,Why is Web Development important in software projects?,Learning core concepts and tools,Ignoring documentation,Avoiding practical projects,Working without planning,A
9,Web Development,Easy,Which language is frequently used in Web Development?,Learning core concepts and tools,Ignoring documentation,Avoiding practical projects,Working without planning,A
10,Web Development,Easy,What is a common beginner project in Web Development?,Learning core concepts and tools,Ignoring documentation,Avoiding practical projects,Working without planning,A
11,Web Development,Medium,Which practice improves maintainability in Web Development projects?,Using structured development practices,Skipping testing completely,Avoiding collaboration,Never updating dependencies,A
12,Web Development,Medium,Which framework or tool is commonly used in Web Development?,Using structured development practices,Skipping testing completely,Avoiding collaboration,Never updating dependencies,A
13,Web Development,Medium,What is an important consideration when designing Web Development solutions?,Using structured development practices,Skipping testing completely,Avoiding collaboration,Never updating dependencies,A
14,Web Development,Medium,How can performance be improved in Web Development?,Using structured development practices,Skipping testing completely,Avoiding collaboration,Never updating dependencies,A
15,Web Development,Medium,Which workflow is commonly followed in Web Development projects?,Using structured development practices,Skipping testing completely,Avoiding collaboration,Never updating dependencies,A
16,Web Development,Medium,What is a key advantage of automation in Web Development?,Using structured development practices,Skipping testing completely,Avoiding collaboration,Never updating dependencies,A
17,Web Development,Medium,Which testing approach is relevant to Web Development?,Using structured development practices,Skipping testing completely,Avoiding collaboration,Never updating dependencies,A
18,Web Development,Medium,What is a common deployment strategy for Web Development applications?,Using structured development practices,Skipping testing completely,Avoiding collaboration,Never updating dependencies,A
19,Web Development,Medium,Why is version control important in Web Development?,Using structured development practices,Skipping testing completely,Avoiding collaboration,Never updating dependencies,A
20,Web Development,Medium,Which architectural pattern is often used in Web Development?,Using structured development practices,Skipping testing completely,Avoiding collaboration,Never updating dependencies,A
21,Web Development,Hard,Which approach best supports scalability in Web Development?,Applying scalable and maintainable engineering practices,Hard-coding every component,Avoiding monitoring and testing,Ignoring security considerations,A
22,Web Development,Hard,What is the main benefit of modular architecture in Web Development?,Applying scalable and maintainable engineering practices,Hard-coding every component,Avoiding monitoring and testing,Ignoring security considerations,A
23,Web Development,Hard,Which design principle is most applicable to advanced Web Development systems?,Applying scalable and maintainable engineering practices,Hard-coding every component,Avoiding monitoring and testing,Ignoring security considerations,A
24,Web Development,Hard,How can reliability be improved in large-scale Web Development projects?,Applying scalable and maintainable engineering practices,Hard-coding every component,Avoiding monitoring and testing,Ignoring security considerations,A
25,Web Development,Hard,Which factor is critical when optimizing Web Development applications?,Applying scalable and maintainable engineering practices,Hard-coding every component,Avoiding monitoring and testing,Ignoring security considerations,A
26,Web Development,Hard,What is a major challenge in enterprise-level Web Development?,Applying scalable and maintainable engineering practices,Hard-coding every component,Avoiding monitoring and testing,Ignoring security considerations,A
27,Web Development,Hard,Which strategy best supports secure Web Development development?,Applying scalable and maintainable engineering practices,Hard-coding every component,Avoiding monitoring and testing,Ignoring security considerations,A
28,Web Development,Hard,Why is observability important in complex Web Development systems?,Applying scalable and maintainable engineering practices,Hard-coding every component,Avoiding monitoring and testing,Ignoring security considerations,A
29,Web Development,Hard,Which approach helps reduce technical debt in Web Development?,Applying scalable and maintainable engineering practices,Hard-coding every component,Avoiding monitoring and testing,Ignoring security considerations,A
30,Web Development,Hard,What is a key characteristic of production-ready Web Development solutions?,Applying scalable and maintainable engineering practices,Hard-coding every component,Avoiding monitoring and testing,Ignoring security considerations,A
31,Frontend Development,Easy,What is the primary goal of Frontend Development?,Learning core concepts and tools,Ignoring documentation,Avoiding practical projects,Working without planning,A
32,Frontend Development,Easy,Which technology is most commonly associated with Frontend Development?,Learning core concepts and tools,Ignoring documentation,Avoiding practical projects,Working without planning,A
33,Frontend Development,Easy,Which skill is most important for beginners in Frontend Development?,Learning core concepts and tools,Ignoring documentation,Avoiding practical projects,Working without planning,A
34,Frontend Development,Easy,What is a common tool used in Frontend Development?,Learning core concepts and tools,Ignoring documentation,Avoiding practical projects,Working without planning,A
35,Frontend Development,Easy,What does a beginner typically learn first in Frontend Development?,Learning core concepts and tools,Ignoring documentation,Avoiding practical projects,Working without planning,A
36,Frontend Development,Easy,Which of the following best describes Frontend Development?,Learning core concepts and tools,Ignoring documentation,Avoiding practical projects,Working without planning,A
37,Frontend Development,Easy,What is a basic concept in Frontend Development?,Learning core concepts and tools,Ignoring documentation,Avoiding practical projects,Working without planning,A
