question_id,career_field,difficulty,question,option_a,option_b,option_c,option_d,correct_answer
1,Web Development,Easy,What does CSS stand for?,Cascading Style Sheets,Creative Style System,Computer Styling Software,Custom Sheet Syntax,A
2,Web Development,Easy,Which HTML tag is used to create a hyperlink?,<a>,<link>,<href>,<nav>,A
3,Web Development,Easy,Which programming language adds interactivity to web pages?,JavaScript,SQL,C++,XML,A
4,Web Development,Easy,What is the primary role of the Document Object Model (DOM)?,Represents the page structure as a tree of nodes,Encrypts web requests,Manages database transactions,Compiles JavaScript to assembly,A
5,Web Development,Easy,Which CSS property is used to change the background color of an element?,background-color,color-fill,bgcolor,canvas-color,A
6,Web Development,Medium,What is the purpose of React's virtual DOM?,Minimizes direct DOM manipulation for faster rendering,Stores backend database tables in memory,Encrypts user passwords in browser storage,Replaces standard HTTP requests with WebSockets,A
7,Web Development,Medium,What is the difference between synchronous and asynchronous JavaScript?,Asynchronous code allows execution without blocking the main thread,Synchronous code runs in multiple CPU threads simultaneously,Asynchronous code only runs on backend Node.js servers,Synchronous code cannot access the DOM,A
8,Web Development,Medium,Which HTTP status code indicates that a requested resource was not found?,404 Not Found,200 OK,500 Internal Server Error,301 Moved Permanently,A
9,Web Development,Medium,What does CORS stand for in web security?,Cross-Origin Resource Sharing,Central Object Request Standard,Client Origin Redirect System,Core Open Remote Service,A
10,Web Development,Medium,"In RESTful APIs, which HTTP method is typically used to update an existing resource partially?",PATCH,GET,DELETE,OPTIONS,A
11,Web Development,Hard,How does Server-Side Rendering (SSR) in Next.js differ from Client-Side Rendering (CSR)?,"HTML is generated on the server per request, improving SEO and initial load time",JavaScript execution is completely disabled on the browser,SSR requires all database queries to be written in WebAssembly,CSR executes faster on the server than SSR,A
12,Web Development,Hard,Which web security header helps mitigate Cross-Site Scripting (XSS) attacks?,Content-Security-Policy (CSP),X-Powered-By,Access-Control-Max-Age,Server-Timing,A
13,Web Development,Hard,What is the purpose of using a Redis cache in high-traffic web architectures?,Reduces database load by storing frequently queried data in memory,Compresses image assets before transmission,Replaces DNS lookup servers,Generates SSL certificates automatically,A
14,Web Development,Hard,What problem does the Optimistic Concurrency Control pattern solve in distributed web apps?,Prevents conflicting updates without locking database rows indefinitely,Guarantees zero latency on cross-region network calls,Eliminates memory leaks in JavaScript event loops,Automates frontend CSS bundle optimization,A
15,Machine Learning,Easy,What is the main goal of supervised machine learning?,Train models on labeled input-output pairs,Group unlabeled data without human feedback,Maximize immediate game reward points,Compress file archives without data loss,A
16,Machine Learning,Easy,Which Python library is most widely used for data manipulation and tabular analysis?,Pandas,Pygame,Flask,Tkinter,A
17,Machine Learning,Easy,What type of problem is predicting house prices based on size and location?,Regression,Classification,Clustering,Reinforcement learning,A
18,Machine Learning,Easy,Which metric measures the percentage of correct predictions out of all predictions?,Accuracy,Entropy,Learning rate,Batch size,A
19,Machine Learning,Medium,What does overfitting mean in machine learning models?,The model memorizes training noise and fails to generalize to new data,The model is too simple to capture underlying patterns,The training dataset is too small to compute gradients,The loss function reaches negative infinity,A
20,Machine Learning,Medium,What is the primary function of an activation function (like ReLU) in neural networks?,Introduces non-linearity to learn complex patterns,Normalizes tabular columns to zero mean,Splits datasets into train and test folds,Saves model weights to disk,A
21,Machine Learning,Medium,Which technique is used to prevent overfitting by penalizing large model weights?,Regularization (L1 / L2),Gradient descent acceleration,One-hot encoding,Feature imputation,A
22,Machine Learning,Medium,What does the confusion matrix help evaluate?,"True Positives, False Positives, True Negatives, False Negatives",Matrix multiplication throughput on GPUs,Network bandwidth during distributed training,RAM allocation during model compilation,A
23,Machine Learning,Hard,How does the Self-Attention mechanism in Transformer architectures work?,Computes dynamic query-key similarity scores across all tokens in a sequence,Applies fixed convolution kernels over sequential time steps,Uses recurrent hidden states with backpropagation through time,Prunes 50% of neural connections at random intervals,A
24,Machine Learning,Hard,"Why is the Vanishing Gradient problem common in deep recurrent networks, and how is it mitigated?",Gradients shrink exponentially through layers; solved by LSTM gating and residual connections,Weights explode to infinity; solved by increasing learning rates,Memory runs out; solved by converting float32 to int8,Overfitting occurs; solved by removing batch normalization,A
25,Machine Learning,Hard,What is the primary objective of Low-Rank Adaptation (LoRA) in fine-tuning Large Language Models?,Freezes base model weights and trains low-rank decomposition matrices efficiently,Retrains all model parameters from scratch with double precision,Quantizes model weights into binary values,Converts Transformer attention layers into convolutional layers,A
26,Data Science,Easy,What is the average of a numerical dataset commonly called?,Mean,Median,Mode,Variance,A
27,Data Science,Easy,Which SQL clause is used to filter records in a database query?,WHERE,GROUP BY,ORDER BY,SELECT,A
28,Data Science,Easy,Which chart type is best for showing the distribution of a single numerical variable?,Histogram,Pie chart,Scatter plot,Network diagram,A
29,Data Science,Medium,What is the main difference between Mean and Median when analyzing skewed data?,Median is robust against extreme outliers whereas Mean is sensitive to them,Mean is always larger than Median regardless of distribution,Median can only be calculated on categorical text data,Mean requires data to be sorted before calculation,A
30,Data Science,Medium,What does the p-value represent in statistical hypothesis testing?,Probability of observing results at least as extreme assuming null hypothesis is true,The exact percentage of accuracy of the machine learning model,The number of degrees of freedom in an ANOVA test,The margin of error in a confidence interval,A
31,Data Science,Medium,Which SQL command aggregates data across distinct categories?,GROUP BY,INNER JOIN,HAVING ONLY,DISTINCT ON,A
32,Data Science,Hard,What is the purpose of Principal Component Analysis (PCA) in data preprocessing?,Reduces dimensionality by projecting data onto orthogonal axes of maximum variance,Removes missing null values by calculating linear interpolation,Encrypts sensitive database columns with SHA-256,Converts non-linear decision trees into linear regression lines,A
33,Data Science,Hard,How does A/B testing statistical power calculation prevent Type II errors?,Ensures sufficient sample size to detect a true effect if one exists,Guarantees zero false positives under any significance threshold,Eliminates the need for a randomized control group,Normalizes variance across non-stationary distributions,A
34,Cybersecurity,Easy,What is the main purpose of a firewall in network security?,Monitors and filters incoming and outgoing network traffic,Increases internet download speed,Backs up files to external drives,Cleans physical computer hardware,A
35,Cybersecurity,Easy,Which protocol encrypts web traffic between a browser and a server?,HTTPS,HTTP,FTP,Telnet,A
36,Cybersecurity,Easy,What type of attack involves sending deceptive emails to trick users into sharing passwords?,Phishing,DDoS attack,SQL Injection,Buffer Overflow,A
37,Cybersecurity,Medium,What is a SQL Injection vulnerability?,An attacker inserts malicious SQL code into input fields to manipulate backend databases,An attacker overloads server bandwidth with excessive ping requests,An attacker intercepts unencrypted Wi-Fi radio frequencies,An attacker changes DNS records to point to phishing servers,A
38,Cybersecurity,Medium,What is the difference between Symmetric and Asymmetric encryption?,Symmetric uses one shared key; Asymmetric uses public and private key pairs,Symmetric encryption cannot be decrypted; Asymmetric can,Asymmetric encryption only works on text files under 1MB,Symmetric encryption is only used by web browsers,A
