question_id,section,question,question_type,options
1,Personality & Aptitude,"When faced with an unexpected bug or complex issue, do you naturally break down the problem methodically and trace patterns before guessing?",mcq,"Strongly Disagree|Disagree|Neutral|Agree|Strongly Agree"
2,Personality & Aptitude,"When designing a solution, do you actively brainstorm unconventional, creative angles rather than sticking only to textbook approaches?",mcq,"Strongly Disagree|Disagree|Neutral|Agree|Strongly Agree"
3,Personality & Aptitude,"Do you frequently explore emerging tech trends and self-learn new programming tools simply out of intrinsic curiosity?",mcq,"Strongly Disagree|Disagree|Neutral|Agree|Strongly Agree"
4,Personality & Aptitude,"When reviewing code or data, do you instinctively spot edge cases, subtle inconsistencies, or hidden flaws that others overlook?",mcq,"Strongly Disagree|Disagree|Neutral|Agree|Strongly Agree"
5,Personality & Aptitude,"Are you comfortable articulating complex technical ideas clearly and collaborating constructively with diverse team members?",mcq,"Strongly Disagree|Disagree|Neutral|Agree|Strongly Agree"
6,Personality & Aptitude,"When a team project is disorganized or stalled, do you naturally take initiative, make decisions, and guide peers forward?",mcq,"Strongly Disagree|Disagree|Neutral|Agree|Strongly Agree"
7,Personality & Aptitude,"Do you experience the highest fulfillment when building functional prototypes or tangible software from scratch?",mcq,"Strongly Disagree|Disagree|Neutral|Agree|Strongly Agree"
8,Personality & Aptitude,"Do you prefer diving deep into the core mechanics and theoretical 'why' of a system rather than just using it as a black box?",mcq,"Strongly Disagree|Disagree|Neutral|Agree|Strongly Agree"
9,Personality & Aptitude,"When using or designing an application, do you instinctively critique the user experience and prioritize making it effortless for people?",mcq,"Strongly Disagree|Disagree|Neutral|Agree|Strongly Agree"
10,Career Goals & Preferences,"How high of a priority is securing a high-growth campus placement or immediate position at an established tech company?",mcq,"Not Important|Somewhat Important|Neutral|Important|Very Important"
11,Career Goals & Preferences,"Is your primary career motivation to develop deep domain mastery and become a recognized technical authority?",mcq,"Strongly Disagree|Disagree|Neutral|Agree|Strongly Agree"
12,Career Goals & Preferences,"Do you envision yourself pursuing advanced postgraduate research, publishing papers, or innovating in applied R&D labs?",mcq,"Strongly Disagree|Disagree|Neutral|Agree|Strongly Agree"
13,Career Goals & Preferences,"Are you energized by the prospect of launching your own tech startup, building products, and taking calculated venture risks?",mcq,"Strongly Disagree|Disagree|Neutral|Agree|Strongly Agree"
14,Career Goals & Preferences,"Do you aspire to transition into Engineering Management, Product Leadership, or CTO roles where you steer roadmap strategy?",mcq,"Strongly Disagree|Disagree|Neutral|Agree|Strongly Agree"
15,Existing Technical Exposure,"Rate your programming knowledge and problem-solving confidence (1-5)",rating,"1|2|3|4|5"
16,Existing Technical Exposure,"Which programming languages do you know or have used?",checkbox,"C|C++|Java|Python|JavaScript|HTML/CSS|SQL|Other"
17,Existing Technical Exposure,"Have you built any software projects (academic or personal)?",mcq,"Yes|No"
18,Existing Technical Exposure,"How many projects have you completed?",mcq,"0|1-2|3-5|5+"
19,Existing Technical Exposure,"What is your Git / GitHub version control experience level?",mcq,"Beginner|Intermediate|Advanced|Never Used"
