Question,Category,Option_A,Option_B,Option_C,Option_D,Correct_Answer
"What is the purpose of a variable in programming?","Programming Fundamentals","To store data","To print output","To create loops","To define hardware","A"
"Which of the following is a programming language?","Programming Fundamentals","HTML","Python","CSS","SQL","B"
"What is the output statement commonly used in Python?","Programming Fundamentals","print()","echo()","cout<<","System.out","A"
"Which loop is guaranteed to execute at least once?","Programming Fundamentals","for loop","while loop","do-while loop","foreach loop","C"
"Which data structure follows the LIFO principle?","Data Structures & Algorithms","Queue","Stack","Array","Linked List","B"
"Which data structure follows the FIFO principle?","Data Structures & Algorithms","Stack","Queue","Tree","Graph","B"
"What is the average time complexity of Binary Search?","Data Structures & Algorithms","O(n)","O(log n)","O(n²)","O(1)","B"
"Which algorithm is commonly used to sort data efficiently with O(n log n) average complexity?","Data Structures & Algorithms","Bubble Sort","Selection Sort","Merge Sort","Linear Search","C"
"What is the main function of an Operating System?","Operating Systems","Manage hardware and software resources","Create websites","Compile programs","Store source code","A"
"Which of the following is an operating system?","Operating Systems","Linux","Chrome","Google","Oracle","A"
"Which memory is volatile?","Operating Systems","ROM","SSD","RAM","Hard Disk","C"
"Which device forwards packets between different networks?","Computer Networks","Hub","Switch","Router","Repeater","C"
"What does HTTP stand for?","Computer Networks","HyperText Protocol","High Transfer Text Protocol","Hyper Transfer Text Process","Hyper Tool Transfer Program","A"
"What is the default port number for HTTPS?","Computer Networks","21","25","80","443","D"
"Which layer of the OSI model is responsible for routing?","Computer Networks","Transport","Network","Session","Application","B"
"What does SQL stand for?","Databases (SQL/NoSQL)","Structured Query Language","Simple Query Language","Sequential Query Language","System Query Logic","A"
"Which SQL command is used to retrieve data from a table?","Databases (SQL/NoSQL)","GET","SELECT","FETCH","SHOW","B"
"Which of the following is a NoSQL database?","Databases (SQL/NoSQL)","MySQL","PostgreSQL","MongoDB","Oracle","C"
"Which language is used to structure web pages?","Web Technologies","CSS","HTML","JavaScript","Python","B"
"Which language is mainly used to style web pages?","Web Technologies","Java","Python","CSS","SQL","C"
"Which programming language adds interactivity to web pages?","Web Technologies","JavaScript","C++","PHP","C","A"
"Which command initializes a new Git repository?","Git & Version Control","git start","git init","git create","git new","B"
"Which Git command uploads local commits to a remote repository?","Git & Version Control","git pull","git clone","git push","git fetch","C"
"What is the purpose of Git?","Git & Version Control","Database management","Version control","Web hosting","Cloud storage","B"
"What is cloud computing?","Cloud Computing","Storing data only on local drives","Delivering computing services over the internet","A programming language","A network cable technology","B"
"Which of the following is a cloud service provider?","Cloud Computing","AWS","GitHub","MySQL","Linux","A"
"Which cloud service model provides virtual machines and storage?","Cloud Computing","SaaS","PaaS","IaaS","DaaS","C"
"What is phishing?","Cyber Security","A sorting algorithm","A cyber attack using fake messages or websites","A database query","A cloud deployment model","B"
"Which of the following is used to protect a network from unauthorized access?","Cyber Security","Firewall","Compiler","Debugger","Interpreter","A"
"Which practice improves password security?","Cyber Security","Using 123456","Sharing passwords","Using strong unique passwords","Using the same password everywhere","C"
"What does AI stand for?","Artificial Intelligence","Automated Interface","Artificial Intelligence","Advanced Integration","Algorithmic Information","B"
"Which AI technique enables computers to learn from data?","Artificial Intelligence","Machine Learning","Data Mining","Web Scraping","Virtualization","A"
"Which of the following is a common application of AI?","Artificial Intelligence","Spam filtering","Keyboard manufacturing","Monitor repair","Disk formatting","A"
"What is the base of the binary number system?","Number Systems","2","8","10","16","A"
"What is the decimal equivalent of binary 1010?","Number Systems","8","10","12","14","B"
"Which number system uses digits 0-9 and letters A-F?","Number Systems","Binary","Octal","Decimal","Hexadecimal","D"
